project_id,Resource ID,Activity ID,Activity Name,Original Duration,Planned Start,Planned Finish,Start,Finish,Budgeted Units,Actual Units,Remaining Units,Units % Complete,Budgeted Units / Time,Drive Activity Dates,Default Units / Time,Price / Unit,Remaining Units / Time,Max Units/Time,Calculate costs from units,Budgeted Cost ,Spreadsheet Field
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B01-FOOT-1050,RFT for RC Raft & Footings (B01) (footing),14,2-Feb-26,17-Feb-26,05-Feb-26 A,17-Feb-26 A,320.45,320.45,0.0,100%,22.89/d,Yes,8.00/d,$1.00/unit,22.89/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B02-FOOT-1050,RFT for RC Raft & Footings (B02) (footing),10,3-Jan-26,14-Jan-26,17-Jan-26 A,21-Jan-26 A,155.42,155.42,0.0,100%,15.54/d,Yes,8.00/d,$1.00/unit,15.54/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-FOOT-1050,RFT for RC Raft & Footings (B04) (footing),8,1-Mar-26,9-Mar-26,10-Mar-26 A,19-May-26,296.46,192.7,103.76,65%,37.06/d,Yes,8.00/d,$1.00/unit,37.06/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B03-FOOT-1050,RFT for RC Raft & Footings (B03) (footing),10,1-Jan-26,13-Jan-26,10-Jan-26 A,21-Jan-26 A,196.86,196.86,0.0,100%,19.69/d,Yes,8.00/d,$1.00/unit,19.69/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B01-BAS02-1010,"RFT for Walls, Col. & Cores (B01) (Bas 02)",15,20-May-26,11-Jun-26,20-May-26,11-Jun-26,48.92,0.0,48.92,0%,3.26/d,Yes,8.00/d,$1.00/unit,3.26/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B01-BAS02-1070,RFT for Slabs & Beams (B01) (Bas 02),10,21-Jun-26,4-Jul-26,21-Jun-26,4-Jul-26,77.8,0.0,77.8,0%,7.78/d,Yes,8.00/d,$1.00/unit,7.78/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B01-BAS02-1080,RFT for Stairs (B01) (Bas 02),6,22-Jun-26,29-Jun-26,22-Jun-26,29-Jun-26,0.8,0.0,0.8,0%,0.13/d,Yes,8.00/d,$1.00/unit,0.13/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-WT-1070,RFT for RC Raft (B04) (Water Tank),5,14-Jan-26,19-Jan-26,10-Jan-26 A,17-Jan-26 A,45.81,45.81,0.0,100%,9.16/d,Yes,8.00/d,$1.00/unit,6.54/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-WT-1110,RFT for Walls (B04) (Water Tank),8,7-Apr-26,16-Apr-26,08-Mar-26 A,14-Apr-26 A,40.71,40.71,0.0,100%,5.09/d,Yes,8.00/d,$1.00/unit,5.09/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B04-WT-1160,RFT for Top Slab (B04) (Water Tank),6,21-May-26,1-Jun-26,21-May-26,1-Jun-26,11.01,0.0,11.01,0%,1.84/d,Yes,8.00/d,$1.00/unit,1.84/d,8.00/d,Yes,$0.00 ,Budgeted Units
The Big -P.01-UP-20-April-26,  BIG.Q.Rft,CON-B02-BAS02-1010,"RFT for Walls, Col. & Cores (B02) (Bas 02)",12,21-Apr-26,4-May-26,21-Apr-26 A,04-May-26 A,21.08,21.08,0.0,100%,1.76/d,Yes,8.00/d,$1.00/unit,1.76/d,8.00/d,Yes,$0.00 ,Budgeted Units
